Id,Prediction
0,4069859.851
1,2736132.895
2,998671.3863
3,3778638.535
4,1759616.384
5,6451763.269
6,4913794.409
7,1723243.06
8,8961154.634
9,439334.1899
10,7912376.23
11,3942131.653
12,4480747.982
13,8291286.049
14,8491203.313
15,4528342.081
16,6373741.562
17,1710776.375
18,4401141.801
19,4490145.064
20,5244573.208
21,4788750.536
22,3072892.646
23,5455953.145
24,8079066.46
25,7285759.055
26,3747148.238
27,4951236.508
28,4396511.04
29,8109090.754
30,9664568.589
31,109595.0873
32,774757.6307
33,6876452.05
34,4712057.364
35,5697060.252
36,2777026.732
37,10434056.58
38,4715766.156
39,1595616.585
40,5959811.702
41,549685.8612
42,5633549.057
43,7520531.386
44,6885789.909
45,2150119.05
46,-1140203.515
47,-4190291.727
48,1189179.821
49,4866836.184
50,3829544.355
51,4941479.238
52,4232703.888
53,44653.96561
54,3136339.069
55,6137375.841
56,6199371.252
57,3490619.027
58,4720911.309
59,634588.672
60,9139401.7
61,5251512.768
62,-3858314.126
63,4524535.511
64,4506428.161
65,7920568.482
66,2980883.211
67,7316574.955
68,7306981.36
69,4900818.752
70,4374044.398
71,5922050.846
72,4224043.133
73,5242708.705
74,6314549.929
75,5530499.37
76,3836638.528
77,6149682.637
78,1846965.097
79,891225.6068
80,9699466.841
81,5125756.247
82,2235065.372
83,7258806.525
84,11602573.72
85,5131189.638
86,4220968.06
87,4214578.657
88,1563178.253
89,8084770.178
90,5465193.929
91,2480285.897
92,6416144.772
93,2328510.909
94,7117303.36
95,1388742.269
96,619260.3812
97,5102714.522
98,4514591.842
99,6252934.135
100,5847408.388
101,4061771.434
102,6582373.015
103,5367301.759
104,6465353.667
105,-3123995.29
106,8260048.142
107,7003656.512
108,6880647.843
109,5158723.593
110,2444474.991
111,9385898.643
112,7884343.825
113,5286864.62
114,7896840.174
115,6708784.637
116,3731896.615
117,4528003.791
118,5812968.821
119,5466266.965
120,7605929.124
121,4789097.743
122,7429140.115
123,7462519.702
124,1506636.558
125,-4936161.075
126,5492347.64
127,3534482.285
128,11085013.71
129,4597455.031
130,2821490.756
131,6142784.367
132,6483779.255
133,4977433.838
134,215618.7887
135,-662347.3313
136,3305401.981
137,6642839.027
138,11102558.74
139,4529581.381
140,9536939.44
141,3650495.932
142,5183341.239
143,2255170.854
144,6648224.265
145,74534.01003
146,2933258.145
147,5416498.565
148,5495643.306
149,5365801.837
150,6423068.519
151,2096348.354
152,5416854.259
153,11866142.87
154,3833144.503
155,6238990.731
156,4093561.626
157,6739912.56
158,7077183.949
159,4205999.066
160,3562656.583
161,5701999.819
162,4175695.729
163,7344611.592
164,6718363.815
165,5788961.474
166,1567412.895
167,3063040.377
168,6696051.673
169,6191820.649
170,4193222.785
171,-97854.15215
172,-1251405.901
173,6262812.657
174,9303511.892
175,3494026.424
176,8867845.234
177,5386136.252
178,5951013.581
179,4011166.684
180,6082195.209
181,1505160.103
182,1408628.894
183,3644450.088
184,6972764.826
185,4515697.336
186,4568487.409
187,6428628.193
188,7432686.815
189,2924919.081
190,4771097.965
191,2728532.457
192,7547677.531
193,4284087.058
194,4613622.625
195,5415061.072
196,4754023.307
197,4206068.09
198,4161610.028
199,3838161.044
200,5525837.059
201,4021104.941
202,5100366.9
203,7258441.42
204,6797976.448
205,7984748.618
206,2877401.763
207,1372907.114
208,4222873.203
209,3364874.428
210,5429304.503
211,4063604.606
212,628216.3283
213,6722119.345
214,7311516.732
215,1997340.482
216,3092379.267
217,6655465.273
218,3532539.785
219,3571130.814
220,5551423.552
221,-52023.22812
222,5415059.304
223,4573784.621
224,4715736.192
225,4165269.516
226,1879584.977
227,8126271.101
228,1207251.851
229,11055980.28
230,7031008.326
231,10299232.27
232,3673156.94
233,2456861.784
234,1768279.779
235,3124618.233
236,8451293.683
237,2953126.302
238,8896070.479
239,5493522.679
240,2467925.251
241,5059658.241
242,3144900.152
243,3216610.214
244,3456338.384
245,6704949.56
246,2975602.447
247,4991300.592
248,6732437.758
249,5043607.754
250,276805.7901
251,3244593.935
252,4823472.882
253,3313256.465
254,4096014.706
255,3308904.543
256,2914243.587
257,5306231.774
258,2791498.186
259,5976292.945
260,2514008.787
261,-2413042.054
262,-577310.5715
263,-161083.8603
264,4825391.425
265,3500233.249
266,5183732.302
267,5375012.881
268,4487527.535
269,5075409.85
270,4578118.011
271,5547625.562
272,2281039.03
273,5500579.062
274,4538679.039
275,5107066.404
276,6977961.706
277,5940853.44
278,6054083.497
279,5535376.223
280,4118411.333
281,7328242.681
282,6014493.419
283,2269785.193
284,4559219.884
285,168882.3155
286,2832677.683
287,1743559.371
288,5269374.774
289,3034985.582
290,-242458.1668
291,3859897.261
292,940364.9783
293,5333569.112
294,4313714.326
295,6660067.441
296,6372818.811
297,7325372.049
298,5947056.032
299,5290654.014
300,6051261.56
