Id,Prediction
0,4038441.717
1,3903186.853
2,3984583.001
3,3846079.333
4,4207958.79
5,4859036.203
6,4752749.608
7,3912906.177
8,5465075.307
9,3852691.088
10,5336938.704
11,4448852.062
12,5456742.354
13,6232646.361
14,4614818.539
15,4406438.809
16,5310069.538
17,3851906.314
18,5044635.211
19,4500066.089
20,4501701.643
21,4685330.047
22,4334125.919
23,5155071.366
24,5416915.375
25,3936863.819
26,3501291.913
27,5027403.448
28,4714477.378
29,4979752.227
30,7350676.501
31,3889372.444
32,3923068.474
33,4662789.359
34,3954944.891
35,4594120.375
36,4041019.861
37,5753082.621
38,3505789.581
39,4230538.787
40,5189762.323
41,3930299.003
42,6356129.163
43,5365636.327
44,5277095.655
45,3753785.747
46,3933138.357
47,2869151.404
48,4551819.06
49,4815248.155
50,4967128.395
51,5168563.721
52,4235387.729
53,3413338.925
54,3437436.735
55,5029854.912
56,5225378.934
57,4966525.753
58,5013114.033
59,4424170.227
60,4425346.514
61,4364485.583
62,3504964.28
63,3457944.655
64,4591935.283
65,6451592.038
66,5037203.125
67,5554414.523
68,5127800.896
69,4375765.111
70,4104301.208
71,3834653.406
72,3967403.961
73,4084205.414
74,6091615.476
75,4471865.98
76,4743036.636
77,4735145.258
78,3561745.745
79,4453947.661
80,6021354.303
81,4774771.222
82,4545359.635
83,5146411.317
84,6539215.22
85,3043817.407
86,3881542.897
87,4540861.691
88,3909934.184
89,5019076.401
90,5358331.837
91,5282087.861
92,3552969.46
93,4703441.962
94,5326129.929
95,4326794.242
96,4103636.014
97,4279196.361
98,4012966.645
99,4810706.635
100,4166026.336
101,3078732.08
102,4604404.949
103,4459237.266
104,4599125.317
105,3167059.338
106,4619834.26
107,4664857.402
108,5412355.741
109,4969580.271
110,5424505.983
111,5604451.782
112,5806220.732
113,4560470.545
114,5049177.062
115,4309643.192
116,3690877.44
117,5358722.194
118,4092232.064
119,3821536.334
120,5164194.381
121,4732947.554
122,4669495.498
123,5947669.585
124,3738589.497
125,2580743.672
126,5174298.661
127,3768224.962
128,6057369.834
129,4183955.372
130,3176382.127
131,6135898.549
132,5772807.629
133,4330592.536
134,3238826.554
135,4233784.662
136,3897123.445
137,3511488.231
138,5842759.112
139,4160898.779
140,5747550.228
